test_ID,Dataset,Adjacencia,k,Ponderacao,Simetrica,Conectado,Propagacao,PorcRot,NumExp,SeedExp,TempExp,NumNRot,Acuracia,F_measure
167,ace_ECFP_4.data,symKNN,8,LLE,True,True,LapRLS,0.1,0,65,2.046909733613332,0,0.5,0.2803391626921038
168,ace_ECFP_4.data,symFKNN,8,RBF,True,True,LapRLS,0.02,0,76,2.0607575297355654,0,0.5,0.3184275184275184
169,ace_ECFP_4.data,symFKNN,8,RBF,True,True,LapRLS,0.05,0,127,2.07178388039271,0,0.5,0.3230963883137796
170,ace_ECFP_4.data,symFKNN,8,RBF,True,True,LapRLS,0.08,0,40,2.082128902276357,0,0.5,0.2813295975547631
171,ace_ECFP_4.data,symFKNN,8,RBF,True,True,LapRLS,0.1,0,65,2.093097706635793,0,0.5,0.2803391626921038
172,ace_ECFP_4.data,symFKNN,8,HM,True,True,LapRLS,0.02,0,76,2.1090547959009807,0,0.5,0.3184275184275184
173,ace_ECFP_4.data,symFKNN,8,HM,True,True,LapRLS,0.05,0,127,2.1187868475914,0,0.5,0.3230963883137796
174,ace_ECFP_4.data,symFKNN,8,HM,True,True,LapRLS,0.08,0,40,2.129392655690511,0,0.5,0.2813295975547631
175,ace_ECFP_4.data,symFKNN,8,HM,True,True,LapRLS,0.1,0,65,2.1403478344281512,0,0.5,0.2803391626921038
176,ace_ECFP_4.data,symFKNN,8,LLE,True,True,LapRLS,0.02,0,76,2.153136658668518,0,0.5,0.3184275184275184
177,ace_ECFP_4.data,symFKNN,8,LLE,True,True,LapRLS,0.05,0,127,2.163848050435384,0,0.5,0.3230963883137796
178,ace_ECFP_4.data,symFKNN,8,LLE,True,True,LapRLS,0.08,0,40,2.174817681312561,0,0.5,0.2813295975547631
179,ace_ECFP_4.data,symFKNN,8,LLE,True,True,LapRLS,0.1,0,65,2.1852334062258403,0,0.5,0.2803391626921038
180,ace_ECFP_4.data,MST,8,RBF,True,True,LapRLS,0.02,0,76,2.201163597901662,0,0.5,0.3184275184275184
181,ace_ECFP_4.data,MST,8,RBF,True,True,LapRLS,0.05,0,127,2.2120659430821736,0,0.5,0.3230963883137796
182,ace_ECFP_4.data,MST,8,RBF,True,True,LapRLS,0.08,0,40,2.223905082543691,0,0.5,0.2813295975547631
183,ace_ECFP_4.data,MST,8,RBF,True,True,LapRLS,0.1,0,65,2.2345773935317994,0,0.5,0.2803391626921038
184,ace_ECFP_4.data,MST,8,HM,True,True,LapRLS,0.02,0,76,2.2497146010398863,0,0.5,0.3184275184275184
185,ace_ECFP_4.data,MST,8,HM,True,True,LapRLS,0.05,0,127,2.260635451475779,0,0.5,0.3230963883137796
186,ace_ECFP_4.data,MST,8,HM,True,True,LapRLS,0.08,0,40,2.271897025903066,0,0.5,0.2813295975547631
187,ace_ECFP_4.data,MST,8,HM,True,True,LapRLS,0.1,0,65,2.2831284642219543,0,0.5,0.2803391626921038
188,ace_ECFP_4.data,MST,8,LLE,True,True,LapRLS,0.02,0,76,2.295036009947459,0,0.5,0.3184275184275184
189,ace_ECFP_4.data,MST,8,LLE,True,True,LapRLS,0.05,0,127,2.306857419013977,0,0.5,0.3230963883137796
190,ace_ECFP_4.data,MST,8,LLE,True,True,LapRLS,0.08,0,40,2.31784159342448,0,0.5,0.2813295975547631
191,ace_ECFP_4.data,MST,8,LLE,True,True,LapRLS,0.1,0,65,2.3286829511324565,0,0.5,0.2803391626921038
192,ace_ECFP_4.data,mutKNN,10,RBF,True,True,LapRLS,0.02,0,76,2.3423542102177937,0,0.5,0.3184275184275184
193,ace_ECFP_4.data,mutKNN,10,RBF,True,True,LapRLS,0.05,0,127,2.3541200041770933,0,0.5,0.3230963883137796
194,ace_ECFP_4.data,mutKNN,10,RBF,True,True,LapRLS,0.08,0,40,2.364554174741109,0,0.5,0.2813295975547631
195,ace_ECFP_4.data,mutKNN,10,RBF,True,True,LapRLS,0.1,0,65,2.375489099820455,0,0.5,0.2803391626921038
196,ace_ECFP_4.data,mutKNN,10,HM,True,True,LapRLS,0.02,0,76,2.3916839480400087,0,0.5,0.3184275184275184
197,ace_ECFP_4.data,mutKNN,10,HM,True,True,LapRLS,0.05,0,127,2.4017685492833456,0,0.5,0.3230963883137796
198,ace_ECFP_4.data,mutKNN,10,HM,True,True,LapRLS,0.08,0,40,2.413099785645803,0,0.5,0.2813295975547631
199,ace_ECFP_4.data,mutKNN,10,HM,True,True,LapRLS,0.1,0,65,2.424298890431722,0,0.5,0.2803391626921038
200,ace_ECFP_4.data,mutKNN,10,LLE,True,True,LapRLS,0.02,0,76,2.436106765270233,0,0.5,0.3184275184275184
201,ace_ECFP_4.data,mutKNN,10,LLE,True,True,LapRLS,0.05,0,127,2.44702939192454,0,0.5,0.3230963883137796
202,ace_ECFP_4.data,mutKNN,10,LLE,True,True,LapRLS,0.08,0,40,2.4574679811795552,0,0.5,0.2813295975547631
203,ace_ECFP_4.data,mutKNN,10,LLE,True,True,LapRLS,0.1,0,65,2.467850947380066,0,0.5,0.2803391626921038
204,ace_ECFP_4.data,symKNN,10,RBF,True,True,LapRLS,0.02,0,76,2.4811977545420327,0,0.5,0.3184275184275184
